Category,Component,Description,Part Number,Price,Supplier,Paid,,Estimates
Shell,Complete Shell,RHD 67 Ford Mustang Fastback ,," $25,000.00 ",TheBOG,Y,,
,,Hood,3641H, $139.00 ,Dynacorn,Y,,
,,Hood Hinge Set (billet),50678-1021NS, $650.00 ,Ringbrothers,Y,,
,,Hood Catch/Grille Support,M3547A, $24.00 ,Dynacorn,Y,,
,,Hood Latch,M3530C, $38.00 ,Dynacorn,Y,,
,,Radiator Support to Hood Bumpers,M3510, $2.50 ,Dynacorn,Y,,
,,Fender (RH),3632, $109.00 ,Dynacorn,Y,,
,,Fender (LH),3633, $109.00 ,Dynacorn,Y,,
,,Front Valance,3643, $30.00 ,Dynacorn,Y,,
,,Headlamp Assembly (RH),X3698, $132.00 ,Dynacorn,Y,,
,,Headlamp Assembly (LH),X3699, $132.00 ,Dynacorn,Y,,
,,Front Stone Guard,3643J, $15.00 ,Dynacorn,Y,,
,,Front Bumper,3637, $89.00 ,Dynacorn,Y,,
,,"Bumper Guards, Front",3637A, $19.95 ,Dynacorn,Y,,
,,Rear Bumper,3640, $89.00 ,Dynacorn,Y,,
,,"Bumper Guards, Rear",3640BB, $26.00 ,Dynacorn,Y,,
,,Complete Bumper Bolt Kit,3636B, $9.75 ,Dynacorn,Y,,
,,Quarter Panel Extensions (RH),M3504, $36.00 ,Dynacorn,Y,,
,,Quarter Panel Extensions (LH),M3505, $36.00 ,Dynacorn,Y,,
,,BUMPER INNER ARM RH 67-68,M3574, $8.95 ,Dynacorn,Y,,
,,BUMPER INNER ARM LH 67-68,M3575, $8.95 ,Dynacorn,Y,,
,,BUMPER OUTER ARM FR RH 67-68,M3572, $8.95 ,Dynacorn,Y,,
,,BUMPER OUTER ARM FR LH 67-68,M3573, $8.95 ,Dynacorn,Y,,
,,FENDER FRONT TO BUMPER BRACKET RH,M3570C, $1.75 ,Dynacorn,Y,,
,,FENDER FRONT TO BUMPER BRACKET LH,M3570D, $1.75 ,Dynacorn,Y,,
,,BUMPER REAR BRACKET RH=LH 67-68 x2,M3577, $11.90 ,Dynacorn,Y,,
,,Cost,," $26,737.40 ",,,,
,,,,,,,,
Labour,Kenmer,"Pre Fit, Bending & Torsional Test, Final Fit",," $7,700.00 ",,,,
,Polo Body Works,Full Body Custom Colour - Grey,," $12,100.00 ",,,," $3,000.00 "
,Mammoth Custom Engineering,"Rear Parcel Shelf, Sterring Column Bracket",," $3,135.00 ",,,,
,Phatt Audio,Engine mOunts,," $1,875.00 ",,,,
,Fabrications,,,,,,," $20,000.00 "
,Interior,,,,,,," $5,000.00 "
,,Cost,," $24,810.00 ",,,," $28,000.00 "
,,,,,,,,
Parts,,,,,,,,
"Power Plant (Budget $15,000)",,,,,,,,
,Engine,ENG 5.0L 4V 412HP/390TQ,397-M-6007-M50," $5,890.00 ",JEGS,Y,,
,,ENG COVER 5.0L 4V,397-M-9680-M50, $125.99 ,JEGS,Y,,
,,ENGINE CONTROL 5.0L 4V,397-M-6017-A504V," $1,443.99 ",JEGS,Y,,
,,Front Runner Drive System,174020," $1,349.00 ",Vintage Air,Y,,
,Alternator,5.0L 4V BOSS302 ALT. KIT,397-M8600M50BALT, $281.99 ,JEGS,Y,,
,Transmission,4R70W STREET SMART PACKAGE,732-PASS45103," $3,879.99 ",JEGS,Y,,
,Starter,Powermaster 9532 - Powermaster XS Torque Starter,Powermaster#713-9532, $295.95 ,JEGS,Y,,
,Tailshaft,,, $990.00 ,,,, $500.00 
,Exhaust,,," $3,500.00 ",,,," $1,500.00 "
,Fuel Tank/System/Pump,Aeromotive 1964-68 1st Gen Mustang Stealth fuel tanks,18697, $649.95 ,JEGS,Y,,
,Radiator,,, $-   ,Race Radiators,,," $1,500.00 "
,Air Conditioning,Haymaker Evaporator System,HAYMAKER  + 11-2065RM," $1,219.00 ",Restomod Air,Y,,
,,Bulkhead,,,,,, $200.00 
,Sterring Column,VF Comodore Column + Intermitent Shaft,,,,,,
,,Lower Shft,,,,,,
,,Upper Shaft,,,Holden,,," $1,000.00 "
,,Cost,," $19,625.86 ",,,," $4,700.00 "
"Suspension (Budget $10,000)",,,,,,,,
,Rear Suspension,64-70 Mustang Rear 4-Link,164-RM-101-SM," $1,195.99 ",JEGS,Y,,
,,PANHARD BAR W/ LINKS,164-MR-104,,JEGS,Y,,
,,Black Coil-Over Shocks (P,164-CO-101,,JEGS,Y,,
,,"9"" AXLE HSG W/BRHTS STK W",164-RM-040-59-H, $675.00 ,JEGS,Y,,
,,DROPPED SPINDLES 2 in. S,164-SP-101-K,,JEGS,Y,,
,,POSITRCATION (LSD) 3RD MEMBER 3.50 RATI (Differential),164-BN-350-I-L," $1,095.00 ",JEGS,Y,,
,,31 SPLINE AXLES,164-RM-042-31, $550.00 ,JEGS,Y,,
,Front Suspension,MUST IFS PKG-NO BRAKES,164-PX-320-E-K," $1,821.01 ",JEGS,Y,,
,,POWER RACK RT HAND STEER,164-MP-038-K-RH, $350.00 ,JEGS,Y,,
,,375# SPRING & SHOCK,164-MP-007-375-K,,JEGS,Y,,
,,TUB CNTL ARM NARR,164-CA-112-N,,JEGS,Y,,
,,Cost,," $5,687.00 ",,,,
"Brakes (Budget $2,500)",,,,,,,,
,Front (Rotors & Calipers),Wilwood,DF-208-B," $1,013.00 ",Heidts,Y,,
,Rear (Rotors & Calipers),Wilwood,DR-005-P-B," $1,110.00 ",Heidts,Y,,
,Twin Master Cylinder,Wilwood,WIL-340-11295/WIL-250-13167/WIL-260-10375/WIL-260-10374, $555.00 ,Summit Racing,Y,,
,,Cost,," $2,678.00 ",,,, $-   
"Wheels & Tyres (Budget $1,500)",,,,,,,,
,Wheels,U.S. Mags Black Standard ,, $-   ,,,, $800.00 
,Tyres,BF Goodrich Radial T/A ,, $553.24 ,JEGS,Y,,
,,Cost,, $553.24 ,,,, $800.00 
"Interior (Budget $10,000)",,,,,,,,
,Sound Dampener/Insulation,,,,,,, $500.00 
,Carpet,Front,,,,,, $100.00 
,,Rear,,,,,, $100.00 
,,Trunk,,,,,, $100.00 
,Dash,Dash Pad,PAD3B, $172.99 ,CJ Pony Parts,Y,,
,,Guage Pod,RM3548CB, $150.00 ,Dynacorn,Y,,
,,Dash Panel,R3625F, $85.00 ,Dynacorn,Y,,
,ECU,Wiring Harness,INF3BOXZ/INFDSMXZ/INFMRSCZ," $2,031.24 ",Infinity Box,Y,,
,Guages,,,,,,," $1,000.00 "
,Glove Box,DOOR,3616, $79.00 ,Dynacorn,Y,,
,,HINGE,3616A, $14.00 ,Dynacorn,Y,,
,,GLOVE BOX BUTTON BEZEL SS,HW1607, $8.99 ,CJ Pony Parts,Y,,
,,GLOVEBOX LATCH CATCH,HW1600, $10.99 ,CJ Pony Parts,Y,,
,,GLOVE BOX LATCH,HW1663, $21.99 ,CJ Pony Parts,Y,,
,,LINING,GBL4, $39.99 ,CJ Pony Parts,Y,,
,Sun Visor,SUN VISOR ARM 67-68 ,3609B, $12.50 ,Dynacorn,,,
,,SUN VISOR ARM 67-68 ,3609B, $12.50 ,Dynacorn,,,
